,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare
0,892,3,1,34.5,0,0,7.8292
1,893,3,0,47.0,1,0,7.0
2,894,2,1,62.0,0,0,9.6875
3,895,3,1,27.0,0,0,8.6625
4,896,3,0,22.0,1,1,12.2875
5,897,3,1,14.0,0,0,9.225
6,898,3,0,30.0,0,0,7.6292
7,899,2,1,26.0,1,1,29.0
8,900,3,0,18.0,0,0,7.2292
9,901,3,1,21.0,2,0,24.15
10,902,3,1,30.272590361445783,0,0,7.8958
11,903,1,1,46.0,0,0,26.0
12,904,1,0,23.0,1,0,82.2667
13,905,2,1,63.0,1,0,26.0
14,906,1,0,47.0,1,0,61.175
15,907,2,0,24.0,1,0,27.7208
16,908,2,1,35.0,0,0,12.35
17,909,3,1,21.0,0,0,7.225
18,910,3,0,27.0,1,0,7.925
19,911,3,0,45.0,0,0,7.225
20,912,1,1,55.0,1,0,59.4
21,913,3,1,9.0,0,1,3.1708
22,914,1,0,30.272590361445783,0,0,31.6833
23,915,1,1,21.0,0,1,61.3792
24,916,1,0,48.0,1,3,262.375
25,917,3,1,50.0,1,0,14.5
26,918,1,0,22.0,0,1,61.9792
27,919,3,1,22.5,0,0,7.225
28,920,1,1,41.0,0,0,30.5
29,921,3,1,30.272590361445783,2,0,21.6792
30,922,2,1,50.0,1,0,26.0
31,923,2,1,24.0,2,0,31.5
32,924,3,0,33.0,1,2,20.575
33,925,3,0,30.272590361445783,1,2,23.45
34,926,1,1,30.0,1,0,57.75
35,927,3,1,18.5,0,0,7.2292
36,928,3,0,30.272590361445783,0,0,8.05
37,929,3,0,21.0,0,0,8.6625
38,930,3,1,25.0,0,0,9.5
39,931,3,1,30.272590361445783,0,0,56.4958
40,932,3,1,39.0,0,1,13.4167
41,933,1,1,30.272590361445783,0,0,26.55
42,934,3,1,41.0,0,0,7.85
43,935,2,0,30.0,0,0,13.0
44,936,1,0,45.0,1,0,52.5542
45,937,3,1,25.0,0,0,7.925
46,938,1,1,45.0,0,0,29.7
47,939,3,1,30.272590361445783,0,0,7.75
48,940,1,0,60.0,0,0,76.2917
49,941,3,0,36.0,0,2,15.9
50,942,1,1,24.0,1,0,60.0
51,943,2,1,27.0,0,0,15.0333
52,944,2,0,20.0,2,1,23.0
53,945,1,0,28.0,3,2,263.0
54,946,2,1,30.272590361445783,0,0,15.5792
55,947,3,1,10.0,4,1,29.125
56,948,3,1,35.0,0,0,7.8958
57,949,3,1,25.0,0,0,7.65
58,950,3,1,30.272590361445783,1,0,16.1
59,951,1,0,36.0,0,0,262.375
60,952,3,1,17.0,0,0,7.8958
61,953,2,1,32.0,0,0,13.5
62,954,3,1,18.0,0,0,7.75
63,955,3,0,22.0,0,0,7.725
64,956,1,1,13.0,2,2,262.375
65,957,2,0,30.272590361445783,0,0,21.0
66,958,3,0,18.0,0,0,7.8792
67,959,1,1,47.0,0,0,42.4
68,960,1,1,31.0,0,0,28.5375
69,961,1,0,60.0,1,4,263.0
70,962,3,0,24.0,0,0,7.75
71,963,3,1,21.0,0,0,7.8958
